% Context
% Information about more than 4600 companies tradable on Robinhood website
% Source
% The information is scraped from Robinhood website
% Inspiration
% The dataset contains useful information about Public Companies are being traded in US Stock market. Information about company size, market cap, PE ratio, list date, etc. is provided which can provide some insights about stock market in the US.
@RELATION Stock-Information

@ATTRIBUTE simple_name STRING
@ATTRIBUTE name STRING
@ATTRIBUTE symbol STRING
@ATTRIBUTE bloomberg_unique STRING
@ATTRIBUTE margin_initial_ratio REAL
@ATTRIBUTE maintenance_ratio REAL
@ATTRIBUTE country STRING
@ATTRIBUTE day_trade_ratio REAL
@ATTRIBUTE list_date STRING
@ATTRIBUTE type STRING
@ATTRIBUTE default_collar_fraction REAL
@ATTRIBUTE open REAL
@ATTRIBUTE high REAL
@ATTRIBUTE low REAL
@ATTRIBUTE volume INTEGER
@ATTRIBUTE average_volume_2_weeks REAL
@ATTRIBUTE average_volume REAL
@ATTRIBUTE high_52_weeks REAL
@ATTRIBUTE dividend_yield REAL
@ATTRIBUTE float REAL
@ATTRIBUTE low_52_weeks REAL
@ATTRIBUTE market_cap REAL
@ATTRIBUTE pb_ratio REAL
@ATTRIBUTE pe_ratio REAL
@ATTRIBUTE shares_outstanding REAL
@ATTRIBUTE description STRING
@ATTRIBUTE ceo STRING
@ATTRIBUTE headquarters_city STRING
@ATTRIBUTE headquarters_state STRING
@ATTRIBUTE sector STRING
@ATTRIBUTE industry STRING
@ATTRIBUTE num_employees REAL
@ATTRIBUTE year_founded REAL

@DATA
Snap,'Snap Inc.',SNAP,EQ0000000028556841,0.5,0.25,US,0.25,3/2/2017,stock,0.05,13.82,13.85,13.21,16370886,27795857.1,27795857.1,19.755,?,810624000.0,9.16,19246555500.0,8.4889,?,1415796097.0,'Snap, Inc. engages in the operation of its camera platform. Its products include Snapchat, using the camera and editing tools to take and share Snaps, Friends Page, which lets users create and use Stories, Groups, Video and Chat, Discover for searching and surfacing relevant Stories, Snap Map, which shows friends, Stories and Snaps near the user, Memories, for saving personal collections, and Spectacles, wearable sunglasses capable of taking Snaps and interacting directly with the Snapchat application. The company\'s primary source of revenue is advertising. Snap was founded by Frank Reginald Brown IV, Evan Thomas Spiegel, and Robert C. Murphy in 2010 and is headquartered in Santa Monica, CA.','Evan Thomas Spiegel','Santa Monica',California,'Technology Services','Internet Software Or Services',3195.0,2010.0
'Cronos Group','Cronos Group Inc. Common Share',CRON,EQ0000000049984345,0.56,0.45,CA,0.25,2/27/2018,stock,0.05,5.51,5.98,5.4,4094259,8374256.2,8374256.2,24.37,?,175685000.0,5.14,1828824500.0,1.1269,1.42,343764207.0,'Cronos Group, Inc. engages in the production and sale of cannabis in federally legal jurisdictions, including Canada and Germany. Its portfolio includes Peace Naturals, Original BC (OGBC) and Whistler Medical Marijuana Company (WMMC). The company was founded by Lorne Michael Gertner and Paul Rosen on August 21, 2012 and is headquartered in Toronto, Canada.','Michael Ryan Gorenstein',Toronto,Ontario,'Process Industries','Agricultural Commodities Or Milling',297.0,2012.0
'Canopy Growth','Canopy Growth Corporation Common Shares',CGC,EQ0000000034861784,1.0,1.0,CA,0.25,5/24/2018,stock,0.05,17.88,18.53,17.51,2419704,6894687.5,6894687.5,52.74,?,219029000.0,13.81,6556200529.0,1.4945,?,349651000.0,'Canopy Growth Corp. engages in the production and sale of medical cannabis. The company offers products including oils and concentrates, soft gel capsules and hemp. It focuses on the treatment of chronic pain, seizures, muscle spasms, nausea, and loss of appetite. The company was founded by Bruce Linton on August 5, 2009 and is headquartered in Smith Falls, Canada.','David Eric Klein','Smith Falls',Ontario,'Process Industries','Agricultural Commodities/Milling',2917.0,2009.0
Hexo,'HEXO Corp.',HEXO,EQ0000000055706567,1.0,1.0,CA,1.0,1/23/2019,stock,0.05,1.15,1.265,1.14,1343577,3635567.2,3635567.2,8.4,?,256679182.3,1.05,295991679.0,0.729562,?,272140000.0,'HEXO Corp. engages in the manufacture, production, and distribution of medicinal marijuana. It offers products through the Time of Day, H2, Decarb, and Exlixir No. 1 brands. The company was founded by Sbastien St. Louis and Adam Miron on October 29, 2013 and is headquartered in Gatineau, Canada.','Sbastien St. Louis',Gatineau,Qubec,'Process Industries','Agricultural Commodities/Milling',1260.0,2013.0
Tesla,'Tesla, Inc. Common Stock',TSLA,EQ0000000003531703,0.5,0.25,US,0.25,6/29/2010,stock,0.05,764.48,766.52,724.75,9404112,21555247.8,21555247.8,968.9899,?,145287837.4,176.9919,123000000000.0,20.3377,?,184389000.0,'Tesla, Inc. engages in the design, development, manufacture, and sale of fully electric vehicles, energy generation and storage systems. It also provides vehicle service centers, supercharger station, and self-driving capability. The company operates through the following segments: Automotive and Energy Generation and Storage. The Automotive segment includes the design, development, manufacture and sale of electric vehicles. The Energy Generation and Storage segment includes the design, manufacture, installation, sale, and lease of stationary energy storage products and solar energy systems, and sale of electricity generated by its solar energy systems to customers. It develops energy storage products for use in homes, commercial facilities and utility sites. The company was founded by Jeffrey B. Straubel, Elon Reeve Musk, Martin Eberhard, and Marc Tarpenning on July 1, 2003 and is headquartered in Palo Alto, CA.','Elon Reeve Musk','Palo Alto',California,'Consumer Durables','Motor Vehicles',48016.0,2003.0
'Chesapeake Energy','Chesapeake Energy Corp.',CHK,EQ0011701900001000,1.0,1.0,US,0.25,5/3/1995,stock,0.05,0.268,0.284,0.2389,62803338,138683887.3,138683887.3,3.57,?,1754948972.0,0.1999,537510620.0,0.155132,?,1954580000.0,'Chesapeake Energy Corp. is an independent exploration and production company, which engages in acquisition, exploration and development of properties for the production of oil, natural gas and natural gas liquids from underground reservoirs. It focuses on projects located in Louisiana, Ohio, Oklahoma, Pennsylvania, Texas, and Wyoming. The company was founded by Aubrey K. McClendon and Tom L. Ward on May 18, 1989 and is headquartered in Oklahoma City, OK.','Robert Douglas Lawler','Oklahoma City',Oklahoma,'Energy Minerals','Oil  Gas Production',2300.0,1989.0
Facebook,'Facebook, Inc. Class A Common Stock',FB,EQ0000000002815382,0.5,0.25,US,0.25,5/18/2012,stock,0.05,189.14,190.2781,186.39,10039256,22324071.8,22324071.8,224.2,?,2385700000.0,159.28,530000000000.0,5.2463,28.88,2852000000.0,'Facebook, Inc. operates as a social networking company worldwide. The company engages in the development of social media applications for people to connect through mobile devices, personal computers, and other surfaces. It enables users to share opinions, ideas, photos, videos, and other activities online. The firm\'s products include Facebook, Instagram, Messenger, WhatsApp, and Oculus. The company was founded by Mark Elliot Zuckerberg, Dustin Moskovitz, Chris R. Hughes, Andrew McCollum, and Eduardo P. Saverin on February 4, 2004 and is headquartered in Menlo Park, CA.','Mark Elliot Zuckerberg','Menlo Park',California,'Technology Services','Internet Software Or Services',44942.0,2004.0
Alibaba,'American Depositary Shares, each represents eight Ordinary Shares',BABA,EQ0000000035266994,0.5,0.25,CN,0.25,9/19/2014,adr,0.05,209.49,212.49,208.85,7292061,20990418.7,20990418.7,231.14,?,2665118276.0,147.95,556000000000.0,5.298,22.2527,2682722500.0,'Alibaba Group Holding Ltd. engages in providing online and mobile marketplaces in retail and wholesale trade. It operates through the following business segments: Core Commerce; Cloud Computing; Digital Media and Entertainment; and Innovation Initiatives and Others. The Core Commerce segment comprises of platforms operating in retail and wholesale. The Cloud Computing segment consists of Alibaba Cloud, which offers elastic computing, database, storage and content delivery network, large scale computing, security, management and application, big data analytics, a machine learning platform, and other services provide for enterprises of different sizes across various industries. The Digital Media and Entertainment segment relates to the Youko Tudou and UC Browser business. The Innovation Initiatives and Others segment includes businesses such as AutoNavi, DingTalk, Tmall Genie, and others. The company was founded by Chung Tsai and Yun Ma on June 28, 1999 and is headquartered in Hangzhou, China.','Yong Zhang',Hangzhou,Zhejiang,'Retail Trade','Internet Retail',101958.0,1999.0
Uber,'Uber Technologies, Inc.',UBER,EQ0000000021321320,0.5,0.25,US,0.25,5/10/2019,stock,0.05,33.93,34.48,32.29,19065670,42251828.3,42251828.3,47.08,?,869797122.3,25.58,58143984375.0,3.97414,?,1716680000.0,'Uber Technologies, Inc. operates as a technology platform for people and things mobility. The firm offers multi-modal people transportation, restaurant food delivery, and connecting freight carriers and shippers. It operates through following segments: Core Platform and Other Bets. Core Platform primarily includes the ridesharing and Uber Eats products; while Other Bets primarily includes the Company\'s Freight and New Mobility products. The company was founded by Oscar Salazar Gaitan, Travis Kalanick and Garrett Camp in 2009 and is headquartered in San Francisco, CA.','Dara Khosrowshahi','San Francisco',California,'Technology Services','Packaged Software',22263.0,2009.0
Zynga,'Zynga Inc. Class A Common Stock',ZNGA,EQ0000000005934001,0.5,0.25,US,0.25,12/16/2011,stock,0.05,7.01,7.14,6.935,9838269,22250263.5,22250263.5,7.29,?,872854255.1,4.985,6347136719.0,3.35207,162.093,945922000.0,'Zynga, Inc. provides social game services. It develops, markets and operates social games as live services played on mobile platforms such as Apple\'s iOS operating system and Google\'s Android operating system, and social networking sites such as Facebook. It offers Chess with Friends, Crazy Cake Swap, Draw Something, FarmVille, Gems with Friends, Ice Age: Arctic Blast, Looney Tunes Dash, Speed Guess Something, What\'s The Phrase, Wizard of Oz Magic Match, Yummy Gummy, Free Slots, Black Diamond Casino, Hit It Rich, Zynga Poker and Willy Wonka Slots. The company was founded by Mark Jonathan Pincus on April 19, 2007 and is headquartered in San Francisco, CA.','Frank D. Gibeau','San Francisco',California,'Technology Services','Internet Software/Services',1883.0,2007.0
Twitter,'Twitter, Inc.',TWTR,EQ0000000006576122,0.5,0.25,US,0.25,11/7/2013,stock,0.05,35.76,35.77,34.775,5513930,25536385.7,25536385.7,45.855,?,746693951.7,28.63,25775052734.0,3.20826,19.1982,776357000.0,'Twitter, Inc. is a global platform for public self-expression and conversation in real time. It provides a network that connects users to people, information, ideas, opinions, and news. The company\'s services include live commentary, live connections and live conversations. Its application provides social networking services and micro-blogging services through mobile devices and the Internet. The company can also be used as a marketing tool for businesses. It\'s products and services include Twitter, Periscope, Promoted Tweets, Promoted Accounts and Promoted Trends. Twitter was founded by Jack Dorsey, Christopher Isaac Stone, Noah E. Glass, Jeremy LaTrasse, and Evan Williams on March 21, 2006 and is headquartered in San Francisco, CA.','Jack Dorsey','San Francisco',California,'Technology Services','Internet Software/Services',4900.0,2006.0
NIO,'NIO Inc. American depositary shares, each representing one Class A ordinary share',NIO,EQ0000000067366356,1.0,1.0,CN,0.25,9/12/2018,adr,0.05,4.03,4.06,3.77,33044870,82614293.9,82614293.9,10.63,?,761014891.8,1.19,4347495117.0,-8.5781,?,772132049.0,'NIO, Inc. (China) is a holding company, which engages in the design, manufacture, and sale of electric vehicles, driving innovations in next generation technologies in connectivity, autonomous driving and artificial intelligence. Its products include EP9 supercar and ES8 7-seater SUV. The company provides users with home charging, and power express valet service and other power solutions including access to public charging, access to power mobile charging trucks, and battery swapping. It also offers other value-added services such as service package, battery payment arrangement, and vehicle financing and license plate registration. The company was founded by Li Bin and Qin Li Hong in November 2014 and is headquartered in Jiading, China.','Bin Li',Jiading,Shanghai,'Consumer Durables','Motor Vehicles',9834.0,2014.0
'Bank of America','Bank of America Corporation',BAC,EQ0010103200001000,0.5,0.25,US,0.25,1/2/1990,stock,0.05,28.29,28.29,27.4,57975778,98893763.4,98893763.4,35.72,2.45148,8696452652.0,26.21,249000000000.0,1.07501,10.6676,8728530000.0,'Bank of America Corp. is a bank and financial holding company, which engages in the provision of banking and nonbank financial services. It operates through the following segments: Consumer Banking, Global Wealth and Investment Management, Global Banking, Global Markets, and All Other. The Consumer Banking segment offers credit, banking, and investment products and services to consumers and small businesses. The Global Wealth and Investment Management provides client experience through a network of financial advisors focused on to meet their needs through a full set of investment management, brokerage, banking, and retirement products. The Global Banking segment deals with lending-related products and services, integrated working capital management and treasury solutions to clients, and underwriting and advisory services. The Global Markets segment includes sales and trading services, as well as research, to institutional clients across fixed-income, credit, currency, commodity, and equity businesses. The All Other segment consists of asset and liability management activities, equity investments, non-core mortgage loans and servicing activities, the net impact of periodic revisions to the mortgage servicing rights (MSR) valuation model for both core and non-core MSRs, other liquidating businesses, residual expense allocations and other. The company was founded by Amadeo Peter Giannini in 1904 is headquartered in Charlotte, NC.','Brian T. Moynihan',Charlotte,'North Carolina',Finance,'Major Banks',208000.0,1904.0
Amazon,'Amazon.com, Inc. Common Stock',AMZN,EQ0021695200001000,0.5,0.25,US,0.25,5/15/1997,stock,0.05,1945.11,1952.5,1922.2093,2394324,6323474.2,6323474.2,2185.95,?,421901940.0,1586.57,938000000000.0,15.6795,84.9835,497810000.0,'Amazon.com, Inc. engages in the provision of online retail shopping services. It operates through the following business segments: North America, International, and Amazon Web Services (AWS). The North America segment includes retail sales of consumer products and subscriptions through North America-focused websites such as www.amazon.com and www.amazon.ca. The International segment offers retail sales of consumer products and subscriptions through internationally-focused websites. The Amazon Web Services segment involves in the global sales of compute, storage, database, and AWS service offerings for start-ups, enterprises, government agencies, and academic institutions. The company was founded by Jeffrey P. Bezos in July 1994 and is headquartered in Seattle, WA.','Jeffrey P. Bezos',Seattle,Washington,'Retail Trade','Internet Retail',798000.0,1994.0
ATT,'ATT Inc.',T,EQ0010137600001000,0.5,0.25,US,0.25,1/2/1990,stock,0.05,36.97,37.6,36.725,17507134,54623322.7,54623322.7,39.7,5.59441,7166170000.0,29.67,260000000000.0,1.4295,19.1,7254555140.0,'ATT, Inc. is a holding company, which engages in the provision of telecommunications media and technology service. It operates through the following segments: Communications, WarnerMedia, Latin America and Xandr. The Communications segment provides services to businesses and consumers located in the U.S., or in U.S. territories, and businesses globally. The WarnerMedia segment develops, produces and distributes feature films, television, gaming and other content over various physical and digital formats. The Latin America segment provides entertainment and wireless services outside of the U.S. The Xandar segment provides advertising services. The company was founded in 1983 and is headquartered in Dallas, TX.','F. Thaddeus Arroyo, MBA; Randall L. Stephenson',Dallas,Texas,Communications,'Major Telecommunications',246000.0,1983.0
Inovio,'Inovio Pharmaceuticals, Inc. Common Stock',INO,EQ0010887300001001,1.0,1.0,US,0.25,8/23/1999,stock,0.05,8.44,9.4,7.34,112564871,28160892.0,28160892.0,9.4,?,97464277.72,1.915,433825226.0,8.07178,?,101361000.0,'Inovio Pharmaceuticals, Inc. is a late-stage biotechnology company, which engages in the discovery, development, and commercialization of DNA-based immunotherapies and vaccines. Its drug candidates include SynCon immunotherapies which helps break the immune system\'s tolerance of cancerous cells; and CELLECTRA delivery system which facilitates optimized cellular uptake of the SynCon immunotherapies. The company was founded by David B. Weiner on June 29, 1983 and is headquartered in Plymouth Meeting, PA.','J. Joseph Kim','Plymouth Meeting',Pennsylvania,'Health Technology','Medical Specialties',281.0,1983.0
Aphria,'Aphria Inc. Common Shares',APHA,EQ0000000040717185,0.8,0.75,CA,0.25,11/2/2018,stock,0.05,3.43,3.64,3.32,3213828,6168533.3,6168533.3,10.68,?,233356431.4,3.25,915729949.0,0.679869,?,252928000.0,'Aphria, Inc. engages in the production and supply of medical cannabis. It operates through the following segments: Cannabis Operations, Distribution Operations, and Business Under Development. The Cannabis Operations segment produces, distributes, and sells both medical and adult-use cannabis. The Distribution Operations segment are carried out through its wholly owned subsidiaries ABP, FL Group, and CC Pharma. The Distribution Under Development segment includes operations in which the firm has not received final licensing or has not commenced commercial sales from operations. The company was founded by Cole Cacciavillani and John Cervini on June 22, 2011 and is headquartered in Leamington, Canada.','Irwin David Simon',Leamington,Ontario,'Process Industries','Agricultural Commodities/Milling',620.0,2011.0
Starbucks,'Starbucks Corporation Common Stock',SBUX,EQ0010669100001000,0.5,0.25,US,0.25,6/26/1992,stock,0.05,78.83,80.2,77.88,4971112,11343543.0,11343543.0,99.72,1.99077,1170947674.0,69.03,92053289063.0,-13.6564,26.9251,1173700000.0,'Starbucks Corp. engages in the production, marketing, and retailing of specialty coffee. It operates through the following segments: Americas; China/Asia Pacific (CAP); Europe, Middle East, and Africa (EMEA); and Channel Development. The Americas, CAP, EMEA segments sells coffee and other beverages, complementary food, packaged coffees, single-serve coffee products, and a focused selection of merchandise through company-oriented stores, and licensed stores. The Channel Development segment include sales of packaged coffee, tea, and ready-to-drink beverages to customers outside of its company-operated and licensed stores. The company brands include Evolution Fresh, Teavana, Tazo Tea and Seattle\'s Best. Starbucks was founded by Jerry Baldwin and Howard D. Schultz on November 4, 1985 and is headquartered in Seattle, WA.','Kevin Johnson',Seattle,Washington,'Consumer Services',Restaurants,346000.0,1985.0
Groupon,'Groupon, Inc. Common Stock',GRPN,EQ0000000010173865,1.0,1.0,US,0.25,11/4/2011,stock,0.05,1.23,1.26,1.19,5201713,36433277.9,36433277.9,3.82,?,470305993.8,1.17,758192139.0,1.8672,?,565815000.0,'Groupon, Inc. operates as a global scaled two-sided marketplace that connects consumers to merchants. The firm provides marketing services by selling vouchers through online local marketplaces. It operates through North America and International segment. The company was founded by Andrew D. Mason, Eric Paul Lefkofsky, and Bradley A. Keywell on January 15, 2008 and is headquartered in Chicago, IL.','Richard Williams',Chicago,Illinois,'Commercial Services','Advertising/Marketing Services',6345.0,2007.0
Sprint,'Sprint  Corporation',S,EQ0000000030786031,0.5,0.25,US,0.25,1/2/1990,stock,0.05,9.19,9.405,9.19,12154843,47510298.5,47510298.5,10.16,?,631322410.8,4.26,37784070313.0,1.51995,?,4111430000.0,'Sprint Corp. is a holding company which engages in the provision of telecommunications services. The company operates through the Wireless and Wireline segments. The Wireless segment offers a variety of wireless voice and data transmission services, devices and accessories, and equipment rentals from devices leased to customers. The Wireline segment delivers wireline voice and data communications services to domestic and international companies, businesses, and consumers. The company was founded on October 5, 2012 and is headquartered in Overland Park, KS.','Michel Combes','Overland Park',Kansas,Communications,'Wireless Telecommunications',28500.0,2012.0
